"VirtualEnvironment","isSDPEnforced"
"bidpredmediation-prod-db5","false"
"pfzonalscalesimulatorenvggs1gg20-test-db5","false"
"mediadiscovery-prodpme-db5","false"
"pfzonalscalesimulatorenvggs1gg46-test-db5","false"
"pfzonalscalesimulatorenvggs1gg63-test-db5","false"
"pfzonalscalesimulatorenvggs1gg35-test-db5","false"
"pfzonalscalesimulatorenvggs1gg19-test-db5","false"
"unallocatedmdol-prod-db5","false"
"pfzonalscalesimulatorenvggs1gg71-test-db5","false"
"pfzonalscalesimulatorenvggs1gg80-test-db5","false"
"pfzonalscalesimulatorenvggs1gg65-test-db5","false"
"pfzonalscalesimulatorenvggs1gg45-test-db5","false"
"pfzonalscalesimulatorenvggs1gg6-test-db5","false"
"pfzonalscalesimulatorenvggs1gg29-test-db5","false"
"pfzonalscalesimulatorenvggs1gg30-test-db5","false"
"pfzonalscalesimulatorenvggs1gg56-test-db5","false"
"musicpolicy-prod-db5","false"
"autopilot-pfzonalscalesimulator-ve-14-ve","false"
"autopilot-pfzonalscalesimulator-ve-3-ve","false"
"pfzonalscalesimulatorenvggs1gg31-test-db5","false"
"adlsie01ns-test-db5","false"
"estswus3az1fd056001-prod-phx01p","false"
"phx10prdstp01-aznodes-prod-phx01p","false"
"phx10prdstf02-aznodes-prod-phx01p","false"
"phx10prdsdf03-aznodes-prod-phx01p","false"
"phx10prdgpz07-aznodes-prod-phx01p","false"
"phx61prdgpc02-aznodes-prod-phx01p","false"
"ddqpubr1eus2bn7r-ppe-bn01p","false"
"dnsclientcache-test-bn01p","false"
"azcomputehealthservices-prod-bn01p","false"
"cosmossextans-dev-cy2","false"
"cosmos-cosmos11-prod-cy2-ve","false"
"cosmossextansfrontend-test-cy2","false"
"musicpolicy-prod-cy2","false"
"adlunallocated-prod-cy2","false"
"cosmossextansfrontend-dev-cy2","false"
"dfpclassic-prod-cy2","false"
"cq1prdapp04-aznodes-prod-cpq01p","false"
"cq2prdapp04-aznodes-prod-cpq01p","false"
"o365feapcprd02si2-prod-sin01p","false"
"o365adapcpr03a010si2-prod-sin01p","false"
"pasprodbsoproductionpe002-prod-cpq01p","false"
"autopilot-azapunallocated-ve","true"
"ceg_azurecsi-csi-firmware-prod-6-ve","true"
"answersnews2-prod-puse01","false"
"xboxmxaz-prod-puse01","false"
"xboxxass-prod-puse01","false"
"mapsedgetfea-prod-puse01","false"
"adsscp-prod-puse01","false"
"adsss1-prod-puse01","false"
"indexservelocalselection1-prod-puse01","false"
"adspasnr2-prod-puse01","false"
"msiprodnowslicea-prod-svg01p","false"
"o365tdfpr-ppe-cy4p","false"
"autopilot-edgeslb-qualification-ve","true"
"ecb99prdapp01-aznodes-prod-cbn03c","false"
"cvl02prdapp16-aznodes-prod-cbn03c","false"
"cvl02prdapp04-aznodes-prod-cbn03c","false"
"cvl02prdapp14-aznodes-prod-cbn03c","false"
"musicmatch-prod-dube01","false"
"cloudcollection-prod-dube01","false"
"mapsipsazap-prod-dube01","false"
"xboxconstellation-prod-dube01","false"
"accbluedog-002a-dube01","false"
"adssnrselection2emea-prod-dube01","false"
"qci47-sandbox-dm3","false"
"uhrs-prod-dm3","false"
"qci14-sandbox-dm3","false"
"1esholding-test-dm3","false"
"odunallocated-test-dm3","false"
"qs1agents-test-dm3","false"
"shbalaku-test-cy2test01","false"
"autopilot","false"
"kg-test-cy2test01","false"
"jakmacontainerenv1-test-cy2test01","false"
"nischauhan-test-cy2test01","false"
"zhixuanwu6-dev-cy2test01","false"
"pfzonalscale1-dev-cy2test01","false"
"eape2etestrunner-test-bldev01","false"
"cosine-lsg_ovl_impactless-soc-ve","true"
"dub07prdstr13-aznodes-prod-dub02p","false"
"dub07prdstp06-aznodes-prod-dub02p","false"
"mnz22prdstr22-aznodes-prod-mnz09p","false"
"mnz26prdapp09-aznodes-prod-mnz09p","false"
"mnz26prdapp28-aznodes-prod-mnz09p","false"
"ceg_azurehyperscale-atlas-canary-ve","true"
"decommission","false"
"fastusersubscriptionstate-prod-cy2","false"
"ustauthorization-prod-cy2","false"
"cosmos11b-prod-cy2","false"
"cis-test-cy2","false"
"o365adlamp215a002cpt-prod-cpq02p","false"
"dkdsbrazilse-prod-cpq02p","false"
"xboxxlensxdmsearch-prod-dsme01","false"
"xboxcontentmoderation-prod-dsme01","false"
"xboxstatsthrottlecache-prod-dsme01","false"
"xboxnotificationinbox-prod-dsme01","false"
"xboxpresence-prod-dsme01","false"
"xboxxlensworkflow-prod-dsme01","false"
"piq-prod-dsme01","false"
"realtimetrendingtopic2-int-dsme01","false"
"xboxxlensxingest-ppe-dsme01","false"
"xboxxpriveventhub-prod-dsme01","false"
"xboxactivityfeed-prod-dsme01","false"
"tazadev1-int-dsme01","false"
"xboxgamemediastatemgmt-prod-dsme01","false"
"ea02-dev-dsme01","false"
"wrapstarclient-prod-dsme01","false"
"pdosefsweb-prod-dsme01","false"
"autopilotsecurity","false"
"omg4-prod-dsme01","false"
"gdp-prod-dsme01","false"
"xboxpartycanary-prod-dsme01","false"
"indexserveselectionads11-prod-puse01","false"
"coreuxlogpme-prod-puse01","false"
"adsps-prod-puse01","false"
"mmserveselection10-prod-puse01","false"
"garnetcache-test-puse01","false"
"indexserveselection10-prod-puse01","false"
"tazamm-prod-puse01","false"
"adspasnr1-prod-puse01","false"
"ceg_azurenetwork-networking-qualification-2-ve","true"
"autopilot-hostos-qualification-2-ve","true"
"autopilot-impactful-orchestrator-qualification-ve","true"
"asg_o365-nmagent-ve","false"
"o365beswep280gv3weve-prod-gvx03p","false"
"saspubsecaz3fd178001-prod-gvx03p","false"
"ceg_azurecompute-edge-datapath-prod-2-ve","true"
"cys05prdapp04-aznodes-prod-cy4p","false"
"o365adnamp132cy4-prod-cy4p","false"
"o365adnampr18a005cy4-prod-cy4p","false"
"o365adnamp108cy4-prod-cy4p","false"
"o365adnampr11a006cy4-prod-cy4p","false"
"blz24prdapp18-aznodes-prod-blz03p","false"
"blz24prdapp05-aznodes-prod-blz03p","false"
"pnq22prdapp17-aznodes-prod-pnq03p","false"
"pnq22prdapp16-aznodes-prod-pnq03p","false"
"pnq22prdapp03-aznodes-prod-pnq03p","false"
"lvl01prdapp61-aznodes-prod-lvl08p","false"
"azureunallocated-prod-mnz07p","false"
"edgevpn01-dev-dsme01","false"
"edgevpn05-dev-dsme01","false"
"xboxxapprove-prod-dsme01","false"
"xboxattachments-prod-dsme01","false"
"xboxxlensmeta-prod-dsme01","false"
"xboxpeople-prod-dsme01","false"
"xboxmoderationhydration-prod-dsme01","false"
"omgjm-dev-dsme01","false"
"xboxxsts3-prod-dsme01","false"
"answersnews-int-dsme01","false"
"xboxrevocation-prod-dsme01","false"
"xboxxasu-prod-dsme01","false"
"xboxxcache-prod-dsme01","false"
"xboxxsigner-prod-dsme01","false"
"pdosefsweb-int-dsme01","false"
"admad-int-dsme01","false"
"xboxcontentbuilder-prod-dsme01","false"
"xboxsisr-prod-mwhe01","false"
"cosmos17a-prod-mwhe01","false"
"xcaptionsapc-test-mwhe01","false"
"xboxxorc-prod-mwhe01","false"
"semistructureazsc-prod-mwhe01","false"
"wancn-dev-mwhe01","false"
"mtprimecluster2-dev-mwhe01","false"
"thuban-test-mwhe01","false"
"answersrelevanceazap-prod-mwhe01","false"
"imageindexcleanness-prod-mwhe01","false"
"adsutilitiesadvbi-prod-mwhe01","false"
"webcrawlingfreshdisceap-prod-mwhe01","false"
