"VirtualEnvironment","StoppedPayloadCount"
"ceg_azurecsi-csi-firmware-prod-bios-ve","2"
"ceg_azurecompute-compute-hostagent-ve","1"
"ceg_azurecompute-compute-prod-overlake-ve","2"
"ceg_azurenetwork-networking-prod-3-ve","1"
"ceg_azurecsi-fast-driver-prod-ve","1"
"autopilot-autopilotclient-linux-overlake-ve","2"
"ceg_azurenetwork-networking-soc-impactless-ve","2"
"ceg_azurecompute-datapath-prod-2-ve","1"
"autopilot-hostos-prod-ve","1"
"autopilot-azsec-linux-overlake-ve","1"
"ceg_azurenetwork-networking-soc-softnic-ve","2"
"ceg_azurecsi-csi-firmware-prod-ve","1"
"ceg_azurecsi-csi-firmware-prod-gpu-ve","1"
"ceg_azurenetwork-networking-vnetagent-prod-ve","2"
"ceg_azurecsi-csi-firmware-prod-bios-ve","2"
"ceg_azurecompute-datapath-prod-2-ve","1"
"ceg_azurecompute-compute-prod-ve","1"
"autopilot-onedeployclient-ve","1"
"ceg_aep_fundamentals-osconfigs-ve","1"
"ceg_azurenetwork-networking-soc-impactless-ve","1"
"ceg_azurecompute-compute-prod-overlake-ve","2"
"ceg_azurecompute-compute-prod-2-ve","1"
"ceg_azurecsi-csi-firmware-prod-ve","1"
"autopilot-autopilotclient-linux-overlake-ve","2"
"ceg_azurenetwork-networking-soc-impactful-ve","1"
"ceg_azurecompute-compute-qualification-ve","1"
"ceg_azurecompute-datapath-prod-ve","1"
"ceg_azurecompute-compute-hostagent-ve","2"
"ceg_azurenetwork-networking-prod-3-ve","2"
"ceg_azurenetwork-networking-prod-4-ve","1"
"ceg_azurenetwork-networking-soc-softnic-ve","1"
"ceg_azurecsi-csi-firmware-prod-bios-ve","1"
"ceg_azurecompute-compute-hostagent-ve","2"
"autopilot-autopilotclient-networking-slb-ve","1"
"ceg_azurenetwork-networking-soc-softnic-ve","2"
"ceg_azurenetwork-networking-prod-4-ve","1"
"ceg_azurenetwork-networking-prod-6-ve","1"
"ceg_azurecompute-datapath-prod-2-ve","1"
"ceg_azurepie-pie-soc-impactless-ve","1"
"autopilot-onedeployclient-ve","1"
"ceg_azurenetwork-networking-prod-8-ve","1"
"ceg_azurecompute-compute-hostagent-ve","2"
"ceg_azurenetwork-networking-prod-3-ve","1"
"ceg_azurestorage-storageagent-prod-ve","1"
"ceg_azurepie-pie-soc-impactless-ve","1"
"autopilot-onedeployclient-ve","2"
"autopilot-autopilotclient-ve","1"
"ceg_azurenetwork-networking-prod-4-ve","3"
"ceg_azurecompute-datapath-prod-ve","1"
"ceg_azurenetwork-networking-prod-6-ve","1"
"ceg_azurecompute-datapath-prod-2-ve","1"
"autopilot-autopilotclient-nmagent-ve","1"
"ceg_azurecompute-compute-hostagent-ve","2"
"ceg_azurecompute-compute-prod-overlake-ve","2"
"ceg_azurecsi-csi-firmware-prod-2-ve","2"
"autopilot-onedeployclient-ve","2"
"ceg_azurenetwork-networking-soc-impactless-ve","1"
"ceg_azurecompute-datapath-prod-2-ve","1"
"ceg_azurecompute-datapath-prod-2-ve","2"
"ceg_azurenetwork-networking-prod-7-ve","1"
"ceg_azurecompute-compute-prod-overlake-ve","1"
"ceg_azurecsi-csi-firmware-prod-2-ve","2"
"ceg_azurenetwork-networking-vnetagent-prod-ve","1"
"ceg_azurenetwork-networking-soc-impactless-ve","1"
"autopilot-hostos-prod-3-ve","1"
"ceg_azurenetwork-networking-prod-3-ve","1"
"cosine-soc-impactful-ve","1"
"ceg_azurecsi-csi-firmware-prod-bios-ve","1"
"ceg_azurecompute-compute-hostagent-ve","1"
"ceg_azurenetwork-networking-vnetagent-prod-ve","1"
"ceg_azurecompute-computeclient-ve","1"
"ceg_azurenetwork-networking-prod-7-ve","1"
"ceg_azurecompute-compute-hostagent-ve","1"
"ceg_azurenetwork-networking-prod-6-ve","2"
"autopilot-autopilotclient-ve","2"
"ceg_azurecsi-csi-firmware-prod-2-ve","1"
"autopilot-hostos-prod-3-ve","1"
"ceg_azurecompute-datapath-prod-2-ve","2"
"ceg_azurenetwork-networking-soc-impactful-ve","1"
"ceg_azurecsi-csi-firmware-prod-2-ve","2"
"ceg_azurecompute-compute-hostagent-ve","2"
"ceg_azurenetwork-networking-prod-6-ve","2"
"autopilot-onedeployclient-ve","1"
"autopilot-hostos-prod-3-ve","1"
"ceg_azurepie-pie-soc-impactless-ve","1"
"autopilot-stagerhelloworld-ve","1"
"ceg_azurecompute-computeclient-ve","1"
"ceg_azurecompute-compute-prod-ve","1"
"autopilot-hostos-prod-ve","1"
"ceg_azurenetwork-networking-soc-softnic-ve","1"
"ceg_azurecompute-datapath-prod-2-ve","1"
"ceg_azuresecurity-azuresecurity-prod-ve","2"
"ceg_azurenetwork-networking-prod-7-ve","3"
"ceg_azurecsi-csi-firmware-prod-2-ve","2"
"ceg_azurenetwork-networking-vnetagent-prod-ve","1"
"autopilot-autopilotclient-linux-overlake-ve","1"
"ceg_azurenetwork-networking-prod-8-ve","1"
"ceg_azurenetwork-networking-prod-3-ve","1"
"ceg_azurenetwork-networking-prod-4-ve","3"
"ceg_azurecompute-compute-hostagent-ve","2"
"ceg_azurenetwork-networking-prod-2-ve","1"
"ceg_azurecompute-compute-prod-3-ve","1"
"ceg_azurecompute-compute-prod-2-ve","1"
"autopilot-autopilotclient-nmagent-ve","1"
"autopilot-hostos-prod-ve","1"
"ceg_azurenetwork-networking-prod-4-ve","5"
"ceg_azurecsi-csi-firmware-prod-4-ve","1"
"ceg_azurenetwork-networking-soc-softnic-ve","2"
"ceg_azurecompute-datapath-prod-ve","1"
"ceg_azurecompute-compute-prod-3-ve","1"
"ceg_azurenetwork-networking-prod-7-ve","1"
"ceg_azurecompute-compute-hostagent-ve","2"
"ceg_azurenetwork-networking-prod-2-ve","1"
"ceg_azurecompute-compute-prod-2-ve","1"
"ceg_azurecsi-csi-firmware-prod-2-ve","2"
"autopilot-autopilotclient-ve","1"
"ceg_azurepie-pie-soc-impactless-ve","1"
"autopilot-autopilotclient-nmagent-ve","1"
"ceg_azurecompute-compute-hostagent-ve","1"
"ceg_azurestorage-storageagent-prod-ve","1"
"autopilot-hostos-prod-ve","1"
"ceg_azurecsi-csi-firmware-prod-2-ve","2"
"ceg_azurecompute-compute-qualification-ve","1"
"ceg_azurenetwork-networking-prod-4-ve","1"
"ceg_azurenetwork-networking-soc-prod-2-ve","1"
"ceg_azurecompute-compute-prod-overlake-ve","1"
"autopilot-onedeploytest-5-ve","1"
"autopilot-onedeploytest-4-ve","1"
"autopilot-autopilotclient-linux-overlake-ve","1"
"ceg_azurecompute-compute-qualification-ve","1"
"ceg_azurecompute-compute-hostagent-ve","1"
"autopilot-hostos-prod-ve","2"
"autopilot-autopilotclient-networking-slb-ve","1"
"ceg_azurecompute-compute-prod-2-ve","2"
"ceg_azurenetwork-networking-prod-4-ve","1"
"ceg_azurecompute-datapath-prod-ve","1"
"ceg_azurecompute-compute-hostagent-qualification-ve","1"
"ceg_azurenetwork-networking-soc-impactless-ve","1"
"ceg_azurenetwork-networking-prod-4-ve","2"
"ceg_azuresecurity-accbootstrapper-ve","1"
"ceg_azurepie-azurepie-prod-ve","1"
